insee,dept,lon,lat,name
01001,01,4.93060,46.15170,L'Abergement-Clémenciat
01002,01,5.42470,46.00710,L'Abergement-de-Varey
01004,01,5.37060,45.95750,Ambérieu-en-Bugey
01005,01,4.91190,45.99920,Ambérieux-en-Dombes
01006,01,5.59280,45.74830,Ambléon
01007,01,5.36270,46.00990,Ambronay
01008,01,5.33590,45.93470,Ambutrix
01009,01,5.66070,45.78410,Andert-et-Condon
01010,01,5.79480,45.90860,Anglefort
01011,01,5.66190,46.20450,Apremont
01012,01,5.51400,45.99720,Aranc
01013,01,5.49820,45.88850,Arandas
01014,01,5.68790,46.28380,Arbent
01015,01,5.64040,45.71890,Arboys en Bugey
01016,01,4.96130,46.48080,Arbigny
01017,01,5.48190,45.93220,Argis
01019,01,5.58370,45.85230,Armix
01021,01,4.81950,45.99040,Ars-sur-Formans
01022,01,5.69200,45.87010,Artemare
01023,01,4.88200,46.38590,Asnières-sur-Saône
01024,01,5.18230,46.28580,Attignat
01025,01,4.97040,46.32770,Bâgé-Dommartin
01026,01,4.93050,46.30810,Bâgé-le-Châtel
01027,01,5.10760,45.82680,Balan
01028,01,4.90450,46.11170,Baneins
01029,01,5.26340,46.42740,Beaupont
01030,01,4.75670,46.00120,Beauregard
01031,01,5.63710,46.24020,Bellignat
01032,01,5.14150,45.86220,Béligneux
01033,01,5.79440,46.12340,Valserhône
01034,01,5.69270,45.74300,Belley
01035,01,5.78160,46.25190,Belleydoux
01036,01,5.66260,45.92360,Valromey-sur-Séran
01037,01,5.48340,45.84200,Bénonces
01038,01,5.27890,46.31890,Bény
01040,01,5.04310,46.36990,Béréziat
01041,01,5.36480,45.93660,Bettant
01042,01,4.84400,46.21820,Bey
01043,01,4.99640,45.83590,Beynost
01044,01,5.76320,46.07780,Billiat
01045,01,5.04010,45.95090,Birieux
01046,01,4.93930,46.22400,Biziat
01047,01,5.25150,45.84420,Blyes
01049,01,5.02620,45.84830,La Boisse
01050,01,4.99750,46.37230,Boissey
01051,01,5.47010,46.19710,Bolozon
01052,01,4.99570,46.02020,Bouligneux
01053,01,5.24690,46.20270,Bourg-en-Bresse
01054,01,5.13930,45.88420,Bourg-Saint-Christophe
01056,01,5.46160,46.03560,Boyeux-Saint-Jérôme
01057,01,4.91660,46.40890,Boz
