INSEE_C;DEP;n;p25;p50;p75;n_small;p50_small
01004;01;225;1785.71;2122.45;2600;64;2473.31
01005;01;43;2341.41;2630.74;2835.79;9;2925.73
01007;01;5;1566.04;1982.76;2283.02;1;1566.04
01009;01;3;1069.17;1158.54;1450.48;0;0
01010;01;14;3062.76;3344.7;3475.94;8;3455.18
01011;01;2;1133.92;1250.9;1367.87;0;0
01014;01;19;1189.11;1416.67;1504.72;8;1485.85
01017;01;1;955.06;955.06;955.06;0;0
01021;01;7;3240.14;3281.25;3721.21;5;3272.73
01022;01;2;1470.83;1580.56;1690.28;0;0
01024;01;13;1820;1949.15;2430.56;4;2192.05
01025;01;5;1657.61;1684.78;2010.87;0;0
01026;01;4;2866.13;2970.59;3505.8;3;2990.2
01027;01;13;2234.04;2905.66;3216.67;7;2653.06
01028;01;1;3070.18;3070.18;3070.18;0;0
01030;01;14;2098.23;2392.78;2693.53;6;2402.5
01031;01;63;1256.78;1354.41;1564.66;43;1333.33
01032;01;45;2208.43;2533.33;3000;13;3119.05
01033;01;443;1848.66;2183.91;2602.63;142;2417.1
01034;01;156;1574.84;1948.58;2319.75;61;2173.91
01035;01;1;301.72;301.72;301.72;0;0
01036;01;1;1691.18;1691.18;1691.18;0;0
01041;01;2;2032.47;2034.63;2036.8;0;0
01043;01;35;2526.79;3089.38;3686.95;8;3664.41
01044;01;4;1426;1494.95;1682.77;1;1454.55
01045;01;2;2170.45;2431.82;2693.18;0;0
01047;01;3;1992.45;2567.57;3402.12;0;0
01049;01;18;2344.34;2757.3;3311.69;4;2711.67
01053;01;1462;1594.68;1941.46;2333.33;525;2314.81
01058;01;2;1426.16;1426.96;1427.77;2;1426.96
01060;01;1;672.73;672.73;672.73;1;672.73
01061;01;3;1767.29;1913.04;2148.06;0;0
01063;01;1;576.92;576.92;576.92;0;0
01064;01;1;2175.41;2175.41;2175.41;0;0
01065;01;2;2176.26;2337.36;2498.47;0;0
01068;01;1;1226.42;1226.42;1226.42;1;1226.42
01069;01;7;1760.86;1904.11;1931;1;1904.26
01071;01;122;4014.49;4548.59;5091.42;45;4848.89
01072;01;15;2010.1;2444.8;2895.63;2;2733.27
01074;01;23;1753.38;2051.28;2431.7;7;2250
01075;01;10;1799.63;1916.21;2758.41;1;3304
01076;01;1;701.75;701.75;701.75;0;0
01077;01;1;470.59;470.59;470.59;0;0
01078;01;16;4066.38;4551.65;5024.51;2;5230.05
01081;01;7;1750.48;1967.81;2099.4;0;0
01082;01;4;2086.26;2186.09;2219.6;2;2235.49
01083;01;2;2264.17;2315;2365.83;0;0
01088;01;3;3061.26;3097.83;3329.91;1;3562
01089;01;3;1760.24;1956.52;2745.5;0;0
01092;01;2;2363.1;2837.3;3311.51;1;3785.71
01093;01;95;1862.1;2303.92;2715.28;35;2459.46
01095;01;1;1030;1030;1030;0;0
01096;01;1;1757.28;1757.28;1757.28;0;0
01098;01;4;1415.58;1489.09;1606.16;0;0
01099;01;2;1187.97;1294.85;1401.74;0;0
01103;01;50;3947.79;4599.2;5035.16;17;4218.75
01104;01;4;1310.9;1956.3;2459.45;2;2461.85
01105;01;22;2420.71;3143.53;3723.42;6;2991.4
01108;01;4;1107.56;1200.84;1301.41;0;0
01109;01;45;3432.84;3835.17;4200;23;3863.64
01113;01;1;1489.36;1489.36;1489.36;0;0
01114;01;2;2219.37;2540.18;2861;1;3181.82
01115;01;9;662.65;1873.49;2232.14;1;2170.73
01116;01;2;1277.32;1400.79;1524.26;1;1153.85
01118;01;7;2534.29;2758.62;3072.3;4;2757.5
01125;01;1;2327.59;2327.59;2327.59;0;0
01130;01;2;1423.09;1765.72;2108.35;1;2450.98
01133;01;1;1416.67;1416.67;1416.67;0;0
01134;01;2;1532.74;1577.38;1622.02;1;1666.67
01135;01;20;4039;4546.85;5146.95;4;5219.34
01138;01;28;1381.03;1567.29;1891.53;10;1535.9
01142;01;54;2389.71;2820.4;3639.64;13;3431.37
01143;01;399;4784.88;5604.49;6452.12;105;5719.37
01145;01;1;4833.33;4833.33;4833.33;1;4833.33
01146;01;1;2916.67;2916.67;2916.67;0;0
