INSEE_C;taux_vacance_25_pct;taux_vacance_long_25_pct
01001;;
01002;;
01004;6.29;3.48
01005;3.46;1.61
01007;6.41;4.19
01008;4.3;
01010;8.8;3.99
01011;6.84;
01012;6.45;
01014;6.54;3.99
01017;17.96;
01021;3.86;
01022;10.83;6.17
01024;4.62;2.56
01025;4.26;2.57
01026;9.07;2.79
01027;5.11;
01029;10.66;5.96
01030;6.99;3.49
01031;8.93;6.21
01032;4.83;2.47
01033;10.4;6.94
01034;10.0;6.51
01036;7.9;5.78
01038;6.3;
01040;;
01041;8.33;
01042;;
01043;3.2;1.22
01044;7.24;
01046;5.44;
01047;;
01049;4.64;2.17
01053;8.9;4.88
01054;4.11;2.06
01056;9.39;
01057;6.38;
01058;6.97;
01060;10.45;
01062;3.14;
01063;4.69;
01064;6.82;4.48
01065;3.46;1.92
01067;16.0;
01068;15.74;11.49
01069;2.78;
01071;5.29;3.07
01072;5.28;3.43
01073;8.72;5.71
01074;6.94;4.86
01075;2.92;
01076;15.0;
01078;6.28;3.66
01079;13.05;
01080;8.49;5.48
01081;5.38;
01082;17.43;
01083;3.89;
01084;5.28;
01087;13.79;
01088;2.75;
01089;2.53;1.37
01090;;
01092;5.65;3.85
01093;7.12;3.28
01094;10.53;6.05
01095;11.7;7.87
01096;4.01;
01098;7.07;4.88
01099;5.56;2.85
01102;5.94;
01103;4.95;2.47
01104;19.46;15.02
01105;4.56;2.95
01108;10.39;6.08
01109;8.3;5.23
01112;6.99;
01113;4.14;
01114;5.47;
01115;6.89;2.83
01118;8.81;6.15
01124;9.66;6.01
01125;11.7;5.85
01128;7.53;
01129;;
01130;4.84;3.19
01133;6.22;
01134;4.66;
01135;6.22;4.09
01136;;
01138;9.18;5.51
01139;12.41;
01140;;
01142;3.23;1.3
01143;6.68;3.68
01145;4.41;
01147;4.91;
01148;6.32;4.61
01149;3.3;
01153;3.75;1.78
01155;;
01157;2.99;1.77
01158;7.49;4.41
01159;5.64;3.37
01160;6.35;2.55
01163;6.71;3.68
01165;2.34;
01166;1.99;
01167;3.53;
01170;5.32;
01173;7.08;3.82
01175;7.9;4.9
01179;2.65;1.32
01181;3.1;
01183;6.5;3.41
01184;8.2;3.6
01185;12.04;9.33
01187;12.55;9.21
01189;12.36;8.24
01191;11.83;
01192;6.03;4.15
01194;3.01;1.37
01195;6.66;4.65
01196;7.22;
01197;5.97;
01198;;
01199;6.88;3.26
01202;7.39;4.26
01203;3.52;
01204;6.25;
01209;9.33;
01210;9.82;6.6
01211;5.68;2.99
01212;10.32;5.9
01213;3.99;
01216;9.54;5.96
01224;4.12;2.38
01227;6.74;
01228;11.5;
01229;7.28;3.94
01230;;
01231;4.87;2.96
01232;6.13;3.9
01234;;
01235;4.11;
01236;8.02;
01237;6.44;4.55
01238;1.98;
01241;6.81;3.49
01243;4.3;
01244;4.82;2.49
01246;5.69;2.41
01247;7.17;4.98
01248;2.74;1.37
01249;6.2;3.53
01250;2.71;
01254;2.27;
01255;10.23;4.26
01258;2.83;
01259;;
01260;;0.0
01261;5.54;
01262;4.78;2.19
01263;3.95;1.95
01264;3.02;
01265;8.48;6.07
01266;7.52;3.39
01267;7.06;
01269;19.16;13.73
01272;9.91;7.4
01273;6.36;3.86
01274;10.71;
01275;5.52;3.1
01281;4.22;2.57
01282;15.11;
01283;12.74;9.05
01284;3.79;
01288;7.91;5.18
01289;4.91;2.57
01290;6.47;4.01
01291;3.82;
01294;12.13;
01296;7.77;
01297;3.12;
01299;5.5;
01301;5.57;3.39
01303;10.12;6.86
01304;9.71;5.64
01305;11.97;7.85
01306;8.0;4.55
01307;8.23;4.57
01308;5.4;2.82
01313;4.76;1.76
01314;5.07;2.54
01318;;
01320;4.98;2.81
01321;6.91;
01322;2.84;1.11
01323;5.8;
01325;3.08;
01328;8.68;
01329;13.24;
01332;3.95;
